x,y,z,dist_to_centroid,dist_to_principal_axis,R,G,B,color_oob,opacity,scale_phys_0,scale_phys_1,scale_phys_2,scale_ratio,linearity,planarity,sphericity,orientation_x,orientation_y,orientation_z,local_density,if_keep,part_label,confidence
-0.0116764858959492,0.0030592903815854,-0.0020645758357716,0.0017526476060727,0.0015087937291366,0.3696259049139577,0.3696259049139577,0.3696259049139577,False,0.3856387853587049,2.934793560486457e-05,2.7223544548181253e-05,7.14946155248207e-05,2.6262052466491586,0.5895084491408185,0.0297140007130438,0.3807775501461377,-0.8912982294738662,0.437180934437848,-0.1202509738039627,1412.0620559713072,False,body,high
-0.0115740790050499,0.002580611423032,-0.0035293959043813,0.0003376925014068,0.000328980640657,0.3320909244499599,0.3320909244499599,0.3320909244499599,False,0.2101858424768372,8.732378721835397e-05,3.148618920561114e-05,2.932935720848409e-05,2.9773508705841616,0.639431703450062,0.0246992493778799,0.335869047172058,0.1546647647713245,0.9299379071352454,0.3336080026185677,9654.276824345425,True,body,high
-0.0108483335825667,0.0026776098086954,-0.003512700672158,0.0010278371605478,0.0008212153759729,0.6058368048815274,0.6058368048815274,0.6058368048815274,False,0.4895906887645121,3.04449335475428e-05,2.866601364240083e-05,6.959224811820321e-05,2.427691864880265,0.5625240688326127,0.0255620410784898,0.4119138900888973,-0.9213572385588868,0.3256835956506076,-0.2122051707174782,3369.0970491131584,True,body,high
-0.0129341425744777,0.0029949772279011,-0.0040503763392517,0.0012852409917936,0.000923751159136,0.4416159110925078,0.4416159110925078,0.4416159110925078,False,0.0965267064140547,1.5563073016573927e-05,2.0087324257376483e-05,2.207775300982686e-05,1.4185985625277933,0.0901554044727483,0.2049235372272169,0.7049210583000347,0.3772614633232519,0.06303515132933,-0.923959067268722,6326.257795762684,True,body,high
-0.0114597139874616,0.0027869195051719,-0.0041235895021652,0.0006646083764324,0.0005347285818266,0.2713231887810069,0.2713231887810069,0.2713231215243675,False,0.554524399474862,9.833646674183396e-05,9.25993809094172e-05,3.80122059993004e-05,2.5869707941613225,0.058341386695116,0.5551061240935812,0.3865524892113028,0.2902088556509771,0.9520439841422126,-0.0969075454253824,7451.055640986349,True,body,high
-0.0114664072204994,0.0025621081062585,-0.0028769381500021,0.0009053121166534,0.0008919044395606,0.120180369546205,0.120180369546205,0.120180369546205,False,0.8743601383503367,0.0001292599224366,0.0001437114663253,0.0001544180608672,1.1946321640637012,0.0693351184555648,0.0935871348693697,0.8370777466750654,-0.8495618790278117,-0.2621242104448694,0.4577504909897831,6092.540426910294,True,body,high
-0.0104246507629904,0.0028531804858928,-0.0046980731010533,0.0017757008344253,0.000968282177759,0.3585162766647803,0.3585162766647803,0.3585158563107839,False,0.1528780988516665,0.0001257804336206,4.8985419763773016e-05,4.561560386251386e-05,2.7573992881855727,0.6105481722895688,0.0267912568295192,0.3626605708809119,0.1628753367868366,-0.9751895289486384,-0.1499233380615137,7251.1302089416,True,wing_L,high
-0.012795565523863,0.0029770932393969,-0.0038905478883275,0.001121649788337,0.0007249948706893,0.6760594705140031,0.6760594705140031,0.6760594705140031,False,0.2666984771629134,3.592079173177935e-05,3.538389643207867e-05,8.443717697933847e-05,2.386316530781744,0.5745855911245226,0.0063585178816678,0.4190558909938096,-0.9610092378448314,-0.2166829141779416,0.1717840489691962,4806.122771472144,True,body,high
-0.0104764271915482,0.002660842594939,-0.0049487445789433,0.0018581522608594,0.0008827290486351,0.4156234604408972,0.4156234604408972,0.4156225692904248,False,0.2561025825080923,2.183690194290928e-05,4.215045841689482e-05,5.56723104015662e-05,2.549460108724064,0.2428828961316284,0.3648771952782845,0.392239908590087,-0.2749315809880428,-0.9609623910778192,0.0310468792218351,7104.672725316008,True,wing_L,high
-0.0103940695088703,0.0027452172002102,-0.0048313413317019,0.0018565993255019,0.0009159423438541,0.4898476607210223,0.4898476607210223,0.4898470942940122,False,0.1020077210960919,3.91733137522477e-05,8.989550860038707e-05,9.174952709975804e-05,2.3421436256332444,0.020207390250144,0.5528333109879662,0.4269592987618897,0.3612068406470035,0.9047975376273392,-0.225546079933378,9520.76953573937,True,wing_L,high
-0.0129973479324347,0.0029911312259747,-0.0039661255168545,0.001318509808985,0.0008766338449966,0.3121845565248493,0.3121845565248493,0.3121845565248493,False,0.1331609157997539,0.0001282704046699,6.211026721390419e-05,5.111268630303984e-05,2.509561010146836,0.5157864561688508,0.0857374773172335,0.3984760665139156,0.2293158492554072,-0.2611042011230738,-0.937677363188508,9147.160691014084,True,body,high
-0.0112961306750812,0.0026734423995448,-0.004392565024898,0.000908814747558,0.0005831350615507,0.2904405690690032,0.2904405690690032,0.2904405690690032,False,0.3079569909443718,5.402505303934063e-05,0.0001420012176928,9.103674207879894e-05,2.628432730819194,0.3589016801552018,0.2606434623646398,0.3804548574801584,-0.1925684133576375,-0.9771132824411344,0.0903716739583465,7596.884472393444,True,wing_L,high
-0.0114891680396693,0.0015028351677109,-0.0036645601558635,0.0009967546703261,0.000818809279968,0.3022563836250808,0.3022563836250808,0.3022564508817202,False,0.1323423124137985,3.176965671800216e-05,8.1215760416753e-05,4.164648061827199e-05,2.556394018910894,0.4872118366611852,0.1216121581524029,0.3911760051864119,0.8567522259322978,-0.433962396132201,-0.2786615547635728,10612.052252071424,True,wing_R,high
